2013/01/11 14:23:13	NRS	PUBLISH	47	43
2013/01/11 14:23:16	UPLINK	GET_WITH_FILE	291	43
2013/01/11 14:23:17	DATABASE	PUBLISH	125	43
2013/01/11 14:23:17	NRS	PUBLISH	46	43
2013/01/11 14:23:20	UPLINK	GET_WITH_FILE	22	6485
2013/01/11 14:23:20	DATABASE	PUBLISH	111	6485
2013/01/11 14:23:20	NRS	PUBLISH	35	6485
2013/01/11 14:23:23	UPLINK	GET_WITH_FILE	23	2643
2013/01/11 14:23:23	DATABASE	PUBLISH	126	2643
2013/01/11 14:23:24	NRS	PUBLISH	32	2643
2013/01/11 14:23:27	UPLINK	GET_WITH_FILE	20	2159
2013/01/11 14:23:27	DATABASE	PUBLISH	134	2159
2013/01/11 14:23:27	NRS	PUBLISH	33	2159
2013/01/11 14:23:30	UPLINK	GET_WITH_FILE	22	2623
2013/01/11 14:23:30	DATABASE	PUBLISH	146	2623
2013/01/11 14:23:30	NRS	PUBLISH	32	2623
2013/01/11 14:23:33	UPLINK	GET_WITH_FILE	24	2115
2013/01/11 14:23:33	DATABASE	PUBLISH	131	2115
2013/01/11 14:23:34	NRS	PUBLISH	35	2115
2013/01/11 14:23:37	UPLINK	GET_WITH_FILE	272	80
2013/01/11 14:23:37	DATABASE	PUBLISH	156	80
2013/01/11 14:23:37	NRS	PUBLISH	35	80
2013/01/11 14:23:40	UPLINK	GET_WITH_FILE	29	24679
2013/01/11 14:23:40	DATABASE	PUBLISH	128	24679
2013/01/11 14:23:41	NRS	PUBLISH	38	24679
2013/01/11 14:23:41	UPLINK	GET_WITH_FILE	159	1018
2013/01/11 14:23:41	DATABASE	PUBLISH	136	1018
2013/01/11 14:23:41	NRS	PUBLISH	37	1018
2013/01/11 14:23:41	UPLINK	GET_WITH_FILE	136	1016
2013/01/11 14:23:42	DATABASE	PUBLISH	150	1016
2013/01/11 14:23:42	NRS	PUBLISH	77	1016
2013/01/11 14:23:45	UPLINK	GET_WITH_FILE	32	20587
2013/01/11 14:23:45	DATABASE	PUBLISH	104	20587
2013/01/11 14:23:45	NRS	PUBLISH	73	20587
2013/01/11 14:23:45	UPLINK	GET_WITH_FILE	47
2013/01/11 14:23:46	DATABASE	PUBLISH	59
2013/01/11 14:23:46	NRS	PUBLISH	31
2013/01/11 14:23:49	UPLINK	GET_WITH_FILE	423	132
2013/01/11 14:23:50	DATABASE	PUBLISH	106	132
2013/01/11 14:23:50	NRS	PUBLISH	50	132
2013/01/11 14:23:53	UPLINK	GET_WITH_FILE	267	44
2013/01/11 14:23:53	DATABASE	PUBLISH	181	44
2013/01/11 14:23:54	NRS	PUBLISH	40	44
2013/01/11 14:23:57	UPLINK	GET_WITH_FILE	105	37362
2013/01/11 14:23:57	DATABASE	PUBLISH	144	37362
2013/01/11 14:23:57	NRS	PUBLISH	56	37362
2013/01/11 14:24:00	UPLINK	GET_WITH_FILE	60	47966
2013/01/11 14:24:00	DATABASE	PUBLISH	136	47966
2013/01/11 14:24:00	NRS	PUBLISH	75	47966
2013/01/11 14:24:03	UPLINK	GET_WITH_FILE	513	21894
2013/01/11 14:24:04	DATABASE	PUBLISH	102	21894
